Titulo,Link,Publicación,Tiempo Restante,Tipo de trabajo,Ubicación,Presupuesto,Experiencia Requerida,Cliente,Pais,Contenido,Mensaje
"Senior Quality Assurance Automation Engineer
                ",http://www.nubelo.com/proyecto/senior-quality-assurance-automation-engineer,"17 horas
                     ","29 días
                      ","proyecto freelance
           ","Costa Rica, San José
         ","sin especificar
              ","Intermedio (3-5 años)
                  ",Cecilia Lindner ,Costa Rica                ,"
                is a software and technology services company with headquarters in Dallas Texas. GlobalNow was founded as a business process consulting practice with the original mission to generate revenue for clients while accelerating delivery.Since our founding, our global software teams have evolved into a solutions provider that enhances client performance in the areas of revenue generation, customer satisfaction, and profitability by providing innovative software solutions and superior technical services.Duties:Overall Purpose: To represent the software quality perspective within the software delivery team by creating asoftware quality environment, analyzing requirements, developing quality plans and test case documentation,executing tests and tracking defects. Develop and incorporate software testing automation for regression testing.Key Roles and Responsibilities:? Understand the application components, requirements and business functionalities - confer and consultany issues with supplied data.? Perform functional and regression testing - responsible for executing test cases for new and existingfunctionality? Design, develop, and implement complex test automation using Selenium webdriver both at thefunctional and system level.? Responsible for designing certain data driven automated regression tests with Selenium webdriver.? Enter and/or manage defects within the defect tracking system for both the QA and productionenvironment. Issue tickets for fixes and product enhancements, document issues and drive them toresolution with the extended software development team. Escalate issues to the appropriate groups andmembers of management.? Team Player – Lead and assist with the activities of pre-production, stakeholder, launch testing and otherduties as assigned. Use test results and defects observed during testing to provide feedback andenhancement opportunities to management to drive improvements to overall customer experience.Education: Bachelor degree in Computer Science or related field is preferred.Experience: Minimum of three years software applications testing is preferred.Supervisory: NoneInterpersonal and Communication Skills Required/Desired:- Self-directed individual that requires minimal management oversight- Confident to contribute and support the SQA views, issues, and requirements- Interpersonal skills to work with a wide variety of people with varying levels of computer experience- Ability to communicate effectively in English (both written and verbally)Technical Skills Required/Desired:- Hands-on knowledge of test management tools such as HP Quality Center, TestLodge, TestComplete- Previous experience with test execution tools such as Selenium, including the design and creation of end-to-- Demonstrated ability to analyze user requirement documents and determine best method for testing features- Strong experience with computer software applications (Microsoft Office, Word, Excel, etc.).- System technologies leveraged: Unix, MySQL Javascript,C++, C#.- Database queries, Linux experience required.- Use of Javascript, understanding of pointers in C, familiarity of data structures (queue, stack, list, typedef)General: The employee must execute application testing to verify all defined business requirements are delivered within an effortless customer experience. Consumers accessing the web, and other digital applications, will have numerous possible variations of account and service combinations needing validation. Execution of duties requires independence, initiative, judgment, discretion and reliability.             ",""
"Ingeniero desarrollador
                ",http://www.nubelo.com/proyecto/ingeniero-desarrollador-13,"1 día y 20 horas
             ","28 días
                      ","proyecto freelance
           ","Colombia, Bogotá
             ","sin especificar
              ","Intermedio (3-5 años)
                  ",B&p**** ,Colombia                ,"
              Se requiere ingeniero FREELANCE con conocimientos en PHP; MYSQL; JAVA SCRIPT; HTML y HTML5. También debe tener experiencia demostrable en tecnologías para desarrollos de aplicaciones móviles en Android y iOS.            ",""
"dibujante planos, autocad
                ",http://www.nubelo.com/proyecto/dibujante-planos-autocad,"1 día y 20 horas
             ","28 días
                      ","proyecto freelance
           ","Argentina, La Plata
          ","sin especificar
              ","Intermedio (3-5 años)
                  ",Josefina  ,Argentina                ,"
              Dibujante de planos de arquitectura para 2d  y 3d. Programas utilizados: Autocad, Photoshop, Corel, Sketch Up, V-ray render. Tiempo disponible para la realizacion de los mismos, buena predisposicion.             ",""
"Portar una aplicación Linux Intel a Linux ARM
                ",http://www.nubelo.com/proyecto/portar-una-aplicacion-linux-intel-a-linux-arm,"1 día y 20 horas
             ","28 días
                      ","proyecto freelance
           ","España, Zaragoza
             ","36.000,00 €
                  ","Experto (+10 años)
                     ",Scati ,España                ,"
              Disponemos de una aplicación en C/C++ ANSI ejecutable sobre plataformas Intel y Sistema Operativo Linux, que debemos migrar a ARM. Necesitamos persona con experiencia en plataforma Linux-ARM y conocimiento de Qt como librería para GUI            ",""
"Traducciones/Translates by Maia-More than 13 years experience-Más de 13 años en experiencia
                ",http://www.nubelo.com/proyecto/traduccionestranslates-by-maia-more-than-13-years-experience-mas-de-13-anos-en-experiencia,"1 día y 20 horas
             ","28 días
                      ","proyecto freelance
           ","Argentina, Paraná
            ","49,70 €
                      ","Experto (+10 años)
                     ",Traducciones/Translates- Much experience ,Argentina                ,"
              Traducción de todo tipo de textos, de español a ingles o viceversaI translate texts of all kinds, from Spanish to English or vice versaDepende el texto va a variar la cantidad de tiempo para su entregaDepends on the text will vary the amount of time for delivery             ",""
"Diseñar y maquetar 20 Slides con Slider Revolution 
                ",http://www.nubelo.com/proyecto/disenar-y-maquetar-20-slides-con-slider-revolution,"1 día y 20 horas
             ","28 días
                      ","proyecto freelance
           ","España, Barcelona
            ","sin especificar
              ","Intermedio (3-5 años)
                  ",ins**** ,España                ,"
              Buscamos diseñador/maquetador que desarrolle 20 sliders con la herramienta Slider Revolution para ser utilizados con AVADA. También integrando en dos o tres sliders un formulario de contact Form 7.             ",""
"Formulario para Joomla, con exportación AUTOMATiCA a excel por cada formulario completado
                ",http://www.nubelo.com/proyecto/formulario-para-joomla-con-exportacion-automatica-a-excel-por-cada-formulario-completado,"1 día y 20 horas
             ","5 días
                       ","proyecto freelance
           ","en cualquier parte del mundo
 ","50,00 €
                      ","Intermedio (3-5 años)
                  ",ICO**** ,España                ,"
               Formulario para Joomla con exportación AUTOMATiCA a excel por cada formulario completado. Se les dará la url del formulario a una serie de proveedores que contendrá unos campos, pocos, que deberán completar y enviar. Básicamente te se trata de sugerencias de mejora de servicio a esos mismos proveedores. Hasta aquí no hay problema. Lo que realmente necesitamos es que cada formulario enviado se exporte directamente a excel y se envíe a un email determinado.
            ",""
"aplicación móvil para una web
                ",http://www.nubelo.com/proyecto/aplicacion-molil-para-una-web,"1 día y 20 horas
             ","28 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Antonio Fernández ,España                ,"
              Necesito tocar código de la página principal de una web Versión de PrestaShop 1.6.0.9 para que aparezca en dispositivos móviles con presencia que quiero. Adjunto foto de la página en cuestión.  Duración del proyecto: Corta duraciónRoles a cubrir por el freelance: modificar web para app movilCompatibilidad con: iPhone, iPad, AndroidEstado del proyecto: Tengo las especificaciones            ",""
"Guión para real game
                ",http://www.nubelo.com/proyecto/guion-para-real-game,"1 día y 21 horas
             ","28 días
                      ","proyecto freelance
           ","España, Murcia
               ","sin especificar
              ","Intermedio (3-5 años)
                  ",info ,España                ,"
              Estoy preparando un vídeo para un real game, trata sobre el secuestro de una niña y necesito el guión para el vídeo. El vídeo puede ser algo similar a un cortometraje. La historia la proporciono yo y se trata de un guión sencillo ya que es algo corto e intervienen pocas personas.            ",""
"Desarrollador Winforms.net
                ",http://www.nubelo.com/proyecto/desarrollador-winformsnet,"1 día y 22 horas
             ","28 días
                      ","proyecto freelance
           ","Argentina, Buenos Aires
      ","sin especificar
              ","Intermedio (3-5 años)
                  ",Luciana ,Argentina                ,"
              Estamos en la búsqueda de un desarrollador Winforms.net, preferentemente con manejo de controles de DevExpress. Tendrá una carga horaria de unas 40/60 horas mensuales, con un mínimo de al menos 6 meses.             ",""
